SWV ITM Data Console - ITM Port: 0
X: 6.363637, Y: -99.592232, Z: 935.387695
X: 6.606061, Y: -98.893204, Z: 934.040771
X: 5.757576, Y: -98.194168, Z: 937.346863
X: 4.181818, Y: -95.165047, Z: 936.979553
X: 4.424242, Y: -98.310677, Z: 935.999939
X: 7.454545, Y: -98.077667, Z: 936.734680
X: 4.424242, Y: -97.728157, Z: 936.489807
X: 4.424242, Y: -95.631065, Z: 934.163208
X: 6.484849, Y: -96.097084, Z: 935.999939
X: 7.575758, Y: -98.543686, Z: 935.142822
X: 6.969697, Y: -98.194168, Z: 934.775513
X: 5.878788, Y: -99.475723, Z: 934.897949
X: 5.515152, Y: -99.126205, Z: 937.224426
X: 6.363637, Y: -98.310677, Z: 935.387695
X: 4.424242, Y: -97.611649, Z: 934.530579
X: 6.242424, Y: -98.660194, Z: 935.755066
X: 4.424242, Y: -97.495140, Z: 933.795898
X: 4.424242, Y: -98.077667, Z: 936.122375
X: 5.878788, Y: -95.747574, Z: 933.673462
X: 6.121212, Y: -95.514565, Z: 935.387695
X: 7.454545, Y: -96.679611, Z: 935.999939
X: 7.939394, Y: -97.495140, Z: 934.897949
X: 5.272727, Y: -97.378639, Z: 936.122375
X: 6.121212, Y: -97.728157, Z: 932.816284
X: 7.454545, Y: -97.145622, Z: 936.979553
X: 7.333333, Y: -98.427177, Z: 933.918335
X: 7.333333, Y: -97.145622, Z: 933.673462
X: 6.727273, Y: -97.262131, Z: 935.387695
X: 8.181818, Y: -98.194168, Z: 935.142822
X: 5.878788, Y: -97.029121, Z: 938.081604
X: 5.636364, Y: -95.980576, Z: 935.265259
X: 4.666667, Y: -96.563103, Z: 937.959167
X: 6.606061, Y: -99.242714, Z: 934.530579
X: 4.666667, Y: -97.728157, Z: 936.122375
X: 4.909091, Y: -97.378639, Z: 935.142822
X: 6.848485, Y: -94.699028, Z: 934.530579
X: 4.787879, Y: -97.495140, Z: 934.530579
X: 4.545455, Y: -97.611649, Z: 936.612244
X: 5.878788, Y: -98.077667, Z: 936.612244
X: 5.878788, Y: -99.475723, Z: 936.367310
X: 6.000000, Y: -97.495140, Z: 934.285645
X: 4.303030, Y: -97.145622, Z: 935.265259
X: 5.393939, Y: -97.728157, Z: 935.142822
X: 6.121212, Y: -99.009705, Z: 935.387695
X: 7.696970, Y: -96.912621, Z: 934.163208
X: 6.000000, Y: -98.543686, Z: 936.612244
X: 4.181818, Y: -96.097084, Z: 934.897949
X: 3.818182, Y: -98.310677, Z: 935.387695
X: 3.454546, Y: -99.359222, Z: 934.163208
X: 4.545455, Y: -99.359222, Z: 934.530579
X: 6.242424, Y: -96.563103, Z: 937.469360
X: 5.393939, Y: -97.844658, Z: 934.775513
X: 6.000000, Y: -98.427177, Z: 937.346863
X: 7.090909, Y: -97.611649, Z: 935.265259
X: 5.151515, Y: -97.961159, Z: 934.163208
X: 4.787879, Y: -96.679611, Z: 936.979553
X: 4.181818, Y: -96.679611, Z: 934.163208
X: 5.151515, Y: -96.796120, Z: 931.959167
X: 4.666667, Y: -96.097084, Z: 933.428589
X: 6.606061, Y: -97.844658, Z: 938.204041
X: 7.454545, Y: -97.262131, Z: 934.653015
X: 8.181818, Y: -100.058243, Z: 935.755066
X: 6.484849, Y: -95.281548, Z: 935.510193
X: 8.424243, Y: -96.912621, Z: 931.346863
X: 5.030303, Y: -98.194168, Z: 936.857117
X: 5.515152, Y: -98.893204, Z: 934.040771
X: 6.242424, Y: -96.912621, Z: 934.775513
X: 3.575758, Y: -95.631065, Z: 935.265259
X: 5.757576, Y: -97.728157, Z: 935.755066
X: 5.757576, Y: -96.213585, Z: 934.040771
X: 4.787879, Y: -98.543686, Z: 934.653015
X: 7.212121, Y: -96.563103, Z: 936.734680
X: 4.545455, Y: -97.145622, Z: 936.122375
X: 6.242424, Y: -100.174751, Z: 935.510193
X: 5.515152, Y: -97.029121, Z: 935.755066
X: 3.454546, Y: -97.728157, Z: 936.979553
X: 6.484849, Y: -98.543686, Z: 936.489807
X: 5.393939, Y: -100.524269, Z: 933.428589
X: 4.060606, Y: -98.194168, Z: 935.755066
X: 7.090909, Y: -96.796120, Z: 935.632629
X: 6.848485, Y: -97.145622, Z: 934.040771
X: 4.787879, Y: -98.194168, Z: 935.510193
X: 7.090909, Y: -97.611649, Z: 935.755066
X: 6.242424, Y: -96.097084, Z: 937.101990
X: 5.272727, Y: -97.495140, Z: 937.714233
X: 4.909091, Y: -97.728157, Z: 936.244873
X: 4.303030, Y: -96.796120, Z: 936.857117
X: 7.575758, Y: -97.029121, Z: 933.795898
X: 7.696970, Y: -99.359222, Z: 934.163208
X: 5.878788, Y: -95.980576, Z: 937.224426
X: 7.939394, Y: -98.077667, Z: 936.244873
X: 5.636364, Y: -96.330093, Z: 934.530579
X: 4.060606, Y: -96.796120, Z: 934.775513
X: 6.727273, Y: -97.262131, Z: 933.795898
X: 3.939394, Y: -96.097084, Z: 935.632629
X: 7.939394, Y: -99.009705, Z: 934.775513
X: 6.121212, Y: -100.990288, Z: 936.734680
X: 6.606061, Y: -95.980576, Z: 937.714233
X: 4.060606, Y: -97.728157, Z: 934.775513
X: 5.515152, Y: -98.310677, Z: 936.489807
X: 3.454546, Y: -96.563103, Z: 936.367310
X: 5.636364, Y: -96.912621, Z: 933.551025
X: 5.272727, Y: -97.262131, Z: 934.897949
X: 6.848485, Y: -95.747574, Z: 933.306091
X: 7.333333, Y: -96.679611, Z: 939.673462
X: 4.545455, Y: -98.427177, Z: 935.510193
X: 5.515152, Y: -98.660194, Z: 934.408081
X: 7.818182, Y: -97.262131, Z: 937.469360
X: 5.393939, Y: -99.009705, Z: 934.530579
X: 5.151515, Y: -93.883499, Z: 934.897949
X: 5.757576, Y: -97.145622, Z: 935.387695
X: 4.909091, Y: -99.941742, Z: 936.979553
X: 5.272727, Y: -99.475723, Z: 934.163208
X: 5.030303, Y: -97.029121, Z: 934.285645
X: 4.060606, Y: -98.543686, Z: 936.734680
X: 4.909091, Y: -97.029121, Z: 938.571411
X: 5.878788, Y: -97.961159, Z: 933.918335
X: 5.272727, Y: -97.378639, Z: 937.836731
X: 4.666667, Y: -97.728157, Z: 935.755066
X: 6.848485, Y: -98.543686, Z: 935.877502
X: 6.000000, Y: -96.796120, Z: 934.897949
X: 6.484849, Y: -98.310677, Z: 934.653015
X: 4.545455, Y: -94.815536, Z: 934.775513
X: 6.363637, Y: -95.980576, Z: 936.857117
X: 5.272727, Y: -97.145622, Z: 934.040771
X: 8.545455, Y: -97.844658, Z: 937.346863
X: 4.060606, Y: -97.145622, Z: 935.142822
X: 6.242424, Y: -99.126205, Z: 935.265259
X: 6.363637, Y: -98.077667, Z: 937.959167
X: 6.121212, Y: -96.446602, Z: 932.938721
X: 5.272727, Y: -97.378639, Z: 937.346863
X: 6.121212, Y: -98.893204, Z: 935.632629
X: 8.303030, Y: -98.776695, Z: 934.775513
X: 5.151515, Y: -98.077667, Z: 938.204041
X: 5.757576, Y: -97.378639, Z: 934.285645
X: 4.424242, Y: -98.660194, Z: 933.551025
X: 4.909091, Y: -98.427177, Z: 936.122375
X: 6.363637, Y: -97.611649, Z: 934.775513
X: 5.272727, Y: -97.262131, Z: 935.020386
X: 5.151515, Y: -97.262131, Z: 935.142822
X: 5.515152, Y: -96.796120, Z: 935.632629
X: 4.787879, Y: -96.912621, Z: 937.224426
X: 6.848485, Y: -97.262131, Z: 933.673462
X: 7.212121, Y: -97.378639, Z: 936.489807
X: 5.393939, Y: -97.728157, Z: 934.775513
X: 5.757576, Y: -97.728157, Z: 933.183655
X: 5.757576, Y: -98.194168, Z: 935.999939
X: 3.818182, Y: -99.242714, Z: 936.122375
X: 6.606061, Y: -97.029121, Z: 936.122375
X: 4.787879, Y: -97.145622, Z: 935.142822
X: 6.000000, Y: -97.611649, Z: 934.285645
X: 4.303030, Y: -97.262131, Z: 934.408081
X: 5.878788, Y: -96.446602, Z: 935.877502
X: 4.424242, Y: -96.330093, Z: 935.020386
X: 3.818182, Y: -98.660194, Z: 936.734680
X: 5.272727, Y: -97.145622, Z: 933.673462
X: 6.606061, Y: -96.912621, Z: 935.510193
X: 5.757576, Y: -97.728157, Z: 934.897949
X: 4.909091, Y: -97.844658, Z: 933.795898
X: 6.848485, Y: -99.941742, Z: 935.755066
X: 7.090909, Y: -97.495140, Z: 934.040771
X: 5.878788, Y: -96.912621, Z: 937.714233
X: 6.606061, Y: -97.728157, Z: 933.673462
X: 5.272727, Y: -97.262131, Z: 936.979553
X: 6.848485, Y: -97.495140, Z: 936.857117
X: 4.545455, Y: -99.359222, Z: 934.530579
X: 4.909091, Y: -96.796120, Z: 935.877502
X: 6.242424, Y: -98.427177, Z: 935.020386
X: 5.515152, Y: -96.330093, Z: 936.734680
X: 6.606061, Y: -97.029121, Z: 936.489807
X: 5.393939, Y: -95.398056, Z: 934.285645
X: 6.363637, Y: -96.796120, Z: 935.387695
X: 3.333334, Y: -96.912621, Z: 935.387695
X: 4.545455, Y: -95.980576, Z: 935.142822
X: 5.515152, Y: -99.941742, Z: 933.918335
X: 7.333333, Y: -96.796120, Z: 935.387695
X: 6.848485, Y: -97.262131, Z: 935.387695
X: 7.454545, Y: -96.446602, Z: 938.204041
X: 7.333333, Y: -99.708740, Z: 935.755066
X: 4.545455, Y: -99.592232, Z: 936.244873
X: 6.363637, Y: -96.330093, Z: 936.367310
X: 7.333333, Y: -97.611649, Z: 935.999939
X: 6.000000, Y: -95.514565, Z: 935.510193
X: 7.090909, Y: -95.631065, Z: 934.897949
X: 5.757576, Y: -96.679611, Z: 935.142822
X: 5.151515, Y: -99.359222, Z: 933.795898
X: 6.727273, Y: -96.563103, Z: 933.306091
X: 6.606061, Y: -97.611649, Z: 935.632629
X: 5.757576, Y: -97.378639, Z: 933.551025
X: 4.424242, Y: -98.543686, Z: 936.734680
X: 9.030303, Y: -99.009705, Z: 936.612244
X: 6.969697, Y: -97.611649, Z: 935.999939
X: 7.696970, Y: -98.427177, Z: 934.775513
X: 6.363637, Y: -96.563103, Z: 936.244873
X: 7.333333, Y: -96.679611, Z: 935.020386
X: 3.090910, Y: -98.660194, Z: 935.265259
X: 7.454545, Y: -97.378639, Z: 933.918335
X: 5.393939, Y: -99.126205, Z: 936.734680
X: 4.787879, Y: -96.097084, Z: 934.653015
X: 5.878788, Y: -97.611649, Z: 933.795898
X: 4.545455, Y: -97.145622, Z: 936.979553
X: 6.363637, Y: -97.145622, Z: 935.142822
X: 6.121212, Y: -96.912621, Z: 937.346863
X: 6.848485, Y: -96.563103, Z: 933.673462
X: 6.969697, Y: -97.378639, Z: 936.612244
X: 6.121212, Y: -99.825241, Z: 937.346863
X: 5.393939, Y: -97.961159, Z: 932.326477
X: 4.909091, Y: -98.543686, Z: 935.877502
X: 7.090909, Y: -96.679611, Z: 933.795898
X: 5.393939, Y: -99.009705, Z: 935.265259
X: 4.060606, Y: -100.291260, Z: 934.775513
X: 5.636364, Y: -99.126205, Z: 934.653015
X: 4.303030, Y: -96.796120, Z: 932.448975
X: 5.151515, Y: -97.029121, Z: 935.142822
X: 5.393939, Y: -97.844658, Z: 935.387695
X: 4.787879, Y: -98.427177, Z: 938.571411
X: 4.909091, Y: -99.126205, Z: 935.020386
X: 6.848485, Y: -98.427177, Z: 936.612244
X: 7.090909, Y: -98.310677, Z: 933.673462
X: 4.303030, Y: -94.815536, Z: 932.938721
X: 2.606061, Y: -99.126205, Z: 935.142822
X: 6.484849, Y: -97.378639, Z: 936.734680
X: 5.636364, Y: -96.679611, Z: 935.877502
X: 4.545455, Y: -98.543686, Z: 936.489807
X: 6.606061, Y: -96.330093, Z: 938.693848
X: 6.363637, Y: -101.223297, Z: 932.693848
X: 3.575758, Y: -96.563103, Z: 935.755066
X: 4.545455, Y: -98.660194, Z: 935.265259
X: 6.484849, Y: -99.708740, Z: 937.101990
X: 5.515152, Y: -97.262131, Z: 936.367310
X: 3.939394, Y: -96.213585, Z: 934.653015
X: 5.636364, Y: -96.563103, Z: 937.346863
X: 5.272727, Y: -95.281548, Z: 936.734680
X: 6.606061, Y: -99.009705, Z: 938.081604
X: 4.060606, Y: -98.427177, Z: 935.020386
X: 4.181818, Y: -97.262131, Z: 935.632629
X: 6.484849, Y: -98.543686, Z: 935.755066
X: 5.878788, Y: -100.524269, Z: 937.346863
X: 6.606061, Y: -97.145622, Z: 934.530579
X: 4.545455, Y: -96.679611, Z: 934.408081
X: 5.878788, Y: -99.009705, Z: 935.142822
X: 2.848485, Y: -98.077667, Z: 935.510193
X: 4.666667, Y: -98.194168, Z: 935.632629
X: 4.666667, Y: -96.213585, Z: 934.653015
X: 6.363637, Y: -99.708740, Z: 935.755066
X: 5.151515, Y: -97.262131, Z: 935.510193
X: 7.212121, Y: -98.194168, Z: 935.020386
X: 3.333334, Y: -97.262131, Z: 935.265259
X: 9.151515, Y: -96.213585, Z: 935.632629
X: 4.545455, Y: -99.475723, Z: 938.816284
X: 8.181818, Y: -98.660194, Z: 937.591797
X: 5.757576, Y: -98.893204, Z: 934.163208
X: 7.818182, Y: -96.796120, Z: 934.408081
X: 5.272727, Y: -97.844658, Z: 936.857117
X: 6.606061, Y: -97.145622, Z: 934.653015
X: 5.878788, Y: -98.310677, Z: 936.244873
X: 4.666667, Y: -97.961159, Z: 933.306091
X: 6.121212, Y: -95.165047, Z: 937.714233
X: 2.969697, Y: -97.262131, Z: 934.163208
X: 5.030303, Y: -97.378639, Z: 936.489807
X: 4.303030, Y: -94.699028, Z: 936.122375
X: 6.969697, Y: -98.427177, Z: 935.632629
X: 4.909091, Y: -99.475723, Z: 933.918335
X: 6.606061, Y: -98.776695, Z: 935.020386
X: 6.121212, Y: -96.213585, Z: 931.469360
X: 5.272727, Y: -98.077667, Z: 935.755066
X: 5.272727, Y: -97.728157, Z: 934.163208
X: 5.272727, Y: -95.631065, Z: 933.428589
X: 4.787879, Y: -97.728157, Z: 934.653015
X: 5.393939, Y: -97.844658, Z: 935.142822
X: 5.030303, Y: -100.524269, Z: 934.163208
X: 6.363637, Y: -95.980576, Z: 935.387695
X: 7.212121, Y: -98.194168, Z: 935.632629
X: 5.030303, Y: -97.378639, Z: 935.387695
X: 5.878788, Y: -96.912621, Z: 938.204041
X: 6.848485, Y: -97.145622, Z: 935.510193
X: 6.484849, Y: -99.009705, Z: 936.979553
X: 5.515152, Y: -99.475723, Z: 935.755066
X: 4.303030, Y: -99.359222, Z: 936.979553
X: 6.969697, Y: -96.679611, Z: 936.244873
X: 4.545455, Y: -96.796120, Z: 935.265259
X: 6.969697, Y: -99.359222, Z: 935.632629
X: 5.636364, Y: -97.728157, Z: 937.591797
X: 4.787879, Y: -97.728157, Z: 935.632629
X: 5.151515, Y: -98.776695, Z: 934.775513
X: 6.000000, Y: -97.611649, Z: 933.551025
X: 5.757576, Y: -98.543686, Z: 936.367310
X: 6.727273, Y: -98.427177, Z: 934.285645
X: 6.000000, Y: -97.961159, Z: 935.877502
X: 5.636364, Y: -99.825241, Z: 937.469360
X: 6.121212, Y: -97.728157, Z: 934.163208
X: 6.121212, Y: -97.844658, Z: 935.142822
X: 7.090909, Y: -97.495140, Z: 937.591797
X: 4.909091, Y: -97.145622, Z: 936.612244
X: 5.515152, Y: -97.029121, Z: 934.530579
X: 6.606061, Y: -98.427177, Z: 933.795898
X: 6.000000, Y: -98.077667, Z: 935.020386
X: 7.212121, Y: -95.864075, Z: 934.897949
X: 5.393939, Y: -96.563103, Z: 939.183594
X: 6.242424, Y: -98.310677, Z: 936.367310
X: 4.787879, Y: -96.213585, Z: 935.877502
X: 5.030303, Y: -97.029121, Z: 934.408081
X: 5.030303, Y: -97.495140, Z: 935.632629
X: 4.303030, Y: -96.912621, Z: 934.408081
X: 4.666667, Y: -100.407761, Z: 934.530579
X: 6.000000, Y: -98.194168, Z: 934.040771
X: 5.757576, Y: -97.029121, Z: 935.142822
X: 4.181818, Y: -97.961159, Z: 938.448975
X: 3.939394, Y: -96.097084, Z: 936.734680
X: 5.393939, Y: -99.475723, Z: 935.632629
X: 5.272727, Y: -96.796120, Z: 934.775513
X: 5.272727, Y: -96.912621, Z: 932.816284
X: 5.030303, Y: -94.582520, Z: 934.408081
X: 7.575758, Y: -95.747574, Z: 936.857117
X: 6.000000, Y: -96.912621, Z: 934.775513
X: 6.000000, Y: -98.776695, Z: 934.653015
X: 4.424242, Y: -98.077667, Z: 934.897949
X: 6.969697, Y: -96.446602, Z: 936.612244
X: 5.515152, Y: -99.009705, Z: 936.734680
X: 4.666667, Y: -97.844658, Z: 936.489807
X: 7.090909, Y: -98.194168, Z: 937.346863
X: 5.757576, Y: -98.660194, Z: 931.224426
X: 7.212121, Y: -96.912621, Z: 938.938721
X: 5.515152, Y: -96.213585, Z: 935.265259
X: 5.515152, Y: -98.776695, Z: 933.795898
X: 5.515152, Y: -99.126205, Z: 934.530579
X: 4.424242, Y: -98.660194, Z: 937.836731
X: 5.757576, Y: -96.446602, Z: 937.959167
X: 5.878788, Y: -98.660194, Z: 936.734680
X: 7.696970, Y: -96.446602, Z: 935.265259
X: 4.424242, Y: -98.194168, Z: 935.999939
X: 8.424243, Y: -97.145622, Z: 937.469360
X: 5.636364, Y: -98.077667, Z: 936.734680
X: 4.545455, Y: -96.330093, Z: 933.673462
X: 6.121212, Y: -98.194168, Z: 935.265259
X: 5.030303, Y: -97.961159, Z: 935.265259
X: 6.000000, Y: -100.058243, Z: 933.795898
X: 4.909091, Y: -99.475723, Z: 934.408081
X: 4.181818, Y: -95.864075, Z: 935.020386
X: 3.454546, Y: -98.893204, Z: 934.653015
X: 6.848485, Y: -98.310677, Z: 936.122375
X: 5.030303, Y: -97.611649, Z: 934.653015
X: 5.636364, Y: -98.310677, Z: 934.163208
X: 7.575758, Y: -97.961159, Z: 935.877502
X: 3.818182, Y: -98.077667, Z: 933.795898
X: 3.454546, Y: -96.796120, Z: 933.183655
X: 3.454546, Y: -99.242714, Z: 935.632629
X: 4.303030, Y: -96.912621, Z: 933.183655
X: 5.393939, Y: -98.427177, Z: 935.755066
X: 5.636364, Y: -97.262131, Z: 935.632629
X: 5.272727, Y: -97.029121, Z: 935.510193
X: 5.030303, Y: -97.145622, Z: 931.836731
X: 6.363637, Y: -96.097084, Z: 935.877502
X: 6.484849, Y: -97.029121, Z: 934.897949
X: 5.636364, Y: -97.844658, Z: 936.244873
X: 6.484849, Y: -98.194168, Z: 932.938721
X: 6.000000, Y: -96.563103, Z: 936.489807
X: 5.393939, Y: -97.495140, Z: 934.897949
X: 4.303030, Y: -98.543686, Z: 935.632629
X: 6.727273, Y: -95.514565, Z: 937.101990
X: 5.636364, Y: -96.563103, Z: 936.244873
X: 6.121212, Y: -97.728157, Z: 935.877502
X: 6.363637, Y: -98.776695, Z: 934.408081
X: 4.909091, Y: -95.165047, Z: 936.857117
X: 6.969697, Y: -99.126205, Z: 936.979553
X: 5.515152, Y: -97.495140, Z: 934.163208
X: 5.151515, Y: -97.495140, Z: 939.061157
X: 3.818182, Y: -96.912621, Z: 934.285645
X: 6.000000, Y: -97.145622, Z: 934.653015
X: 6.000000, Y: -96.912621, Z: 935.632629
X: 5.393939, Y: -94.932030, Z: 933.551025
X: 6.606061, Y: -98.310677, Z: 936.122375
X: 3.090910, Y: -96.213585, Z: 935.632629
X: 4.909091, Y: -97.844658, Z: 934.653015
X: 5.272727, Y: -97.844658, Z: 934.285645
X: 6.606061, Y: -98.194168, Z: 936.857117
X: 8.424243, Y: -97.611649, Z: 933.918335
X: 2.606061, Y: -97.495140, Z: 936.489807
X: 6.121212, Y: -99.359222, Z: 934.897949
X: 5.878788, Y: -99.126205, Z: 935.510193
X: 5.393939, Y: -96.796120, Z: 935.387695
X: 5.030303, Y: -98.310677, Z: 935.999939
X: 6.606061, Y: -96.563103, Z: 935.999939
X: 5.151515, Y: -97.145622, Z: 935.265259
X: 5.151515, Y: -97.728157, Z: 936.367310
X: 5.515152, Y: -98.543686, Z: 936.122375
X: 8.424243, Y: -97.844658, Z: 936.857117
X: 5.878788, Y: -98.194168, Z: 931.469360
X: 5.393939, Y: -96.446602, Z: 933.918335
X: 8.181818, Y: -96.679611, Z: 937.469360
X: 5.030303, Y: -98.660194, Z: 935.510193
X: 6.727273, Y: -98.893204, Z: 937.101990
X: 7.212121, Y: -100.174751, Z: 936.122375
X: 3.333334, Y: -96.330093, Z: 936.857117
X: 4.545455, Y: -96.213585, Z: 934.897949
X: 5.030303, Y: -97.728157, Z: 936.612244
X: 6.484849, Y: -97.262131, Z: 935.755066
X: 5.393939, Y: -96.446602, Z: 935.020386
X: 6.121212, Y: -97.495140, Z: 936.122375
X: 10.000000, Y: -97.728157, Z: 937.591797
X: 4.787879, Y: -99.475723, Z: 937.591797
X: 5.515152, Y: -95.864075, Z: 935.632629
X: 6.363637, Y: -97.378639, Z: 934.285645
X: 4.666667, Y: -94.932030, Z: 934.408081
X: 5.393939, Y: -97.844658, Z: 935.510193
X: 7.212121, Y: -98.543686, Z: 935.877502
X: 5.272727, Y: -99.242714, Z: 935.999939
X: 4.666667, Y: -98.077667, Z: 933.306091
X: 7.212121, Y: -96.912621, Z: 935.142822
X: 8.303030, Y: -96.912621, Z: 938.571411
X: 7.818182, Y: -97.961159, Z: 934.530579
X: 4.060606, Y: -98.194168, Z: 936.734680
X: 6.121212, Y: -97.378639, Z: 933.918335
X: 6.242424, Y: -96.563103, Z: 934.897949
X: 6.848485, Y: -98.776695, Z: 935.999939
X: 6.000000, Y: -98.077667, Z: 935.510193
X: 7.818182, Y: -98.427177, Z: 935.999939
X: 6.000000, Y: -97.961159, Z: 933.306091
X: 5.030303, Y: -97.495140, Z: 934.653015
X: 8.060606, Y: -97.728157, Z: 936.244873
X: 6.848485, Y: -97.378639, Z: 935.265259
X: 2.484849, Y: -96.679611, Z: 935.999939
X: 4.545455, Y: -99.242714, Z: 933.795898
X: 6.606061, Y: -96.097084, Z: 934.285645
X: 4.181818, Y: -95.980576, Z: 935.020386
X: 6.606061, Y: -96.330093, Z: 935.510193
X: 6.727273, Y: -96.679611, Z: 934.897949
X: 7.333333, Y: -98.660194, Z: 936.122375
X: 4.787879, Y: -97.961159, Z: 936.489807
X: 7.212121, Y: -99.009705, Z: 934.408081
X: 6.121212, Y: -97.145622, Z: 933.551025
X: 4.545455, Y: -99.359222, Z: 937.224426
X: 6.121212, Y: -97.961159, Z: 936.734680
X: 6.242424, Y: -98.893204, Z: 932.938721
X: 6.363637, Y: -96.563103, Z: 937.469360
X: 6.363637, Y: -96.796120, Z: 938.204041
X: 5.636364, Y: -98.310677, Z: 935.265259
X: 7.696970, Y: -97.495140, Z: 936.734680
X: 6.363637, Y: -98.194168, Z: 933.306091
X: 4.787879, Y: -97.728157, Z: 933.183655
X: 4.909091, Y: -97.029121, Z: 933.551025
X: 5.272727, Y: -98.077667, Z: 933.673462
X: 3.333334, Y: -96.446602, Z: 936.489807
X: 6.000000, Y: -96.563103, Z: 935.755066
X: 6.606061, Y: -98.427177, Z: 934.040771
X: 6.363637, Y: -96.330093, Z: 937.959167
X: 6.242424, Y: -98.194168, Z: 936.857117
X: 3.939394, Y: -95.281548, Z: 938.081604
X: 4.060606, Y: -95.048538, Z: 934.897949
X: 5.878788, Y: -98.194168, Z: 933.551025
X: 8.060606, Y: -98.660194, Z: 936.122375
X: 6.000000, Y: -99.009705, Z: 936.122375
X: 6.606061, Y: -97.961159, Z: 936.734680
X: 3.333334, Y: -96.796120, Z: 934.775513
X: 4.424242, Y: -97.611649, Z: 936.244873
X: 4.909091, Y: -98.310677, Z: 936.244873
X: 7.090909, Y: -97.495140, Z: 934.163208
X: 4.424242, Y: -97.611649, Z: 934.775513
X: 6.000000, Y: -97.378639, Z: 935.877502
X: 4.545455, Y: -96.097084, Z: 934.285645
X: 8.909091, Y: -95.165047, Z: 934.163208
X: 6.969697, Y: -98.427177, Z: 936.979553
X: 5.151515, Y: -96.446602, Z: 935.632629
X: 6.363637, Y: -96.563103, Z: 934.040771
X: 3.939394, Y: -98.427177, Z: 935.632629
X: 5.393939, Y: -95.864075, Z: 936.979553
X: 4.909091, Y: -97.728157, Z: 934.285645
X: 6.727273, Y: -97.844658, Z: 933.795898
X: 8.060606, Y: -97.961159, Z: 933.795898
X: 7.090909, Y: -99.009705, Z: 933.428589
X: 5.151515, Y: -98.077667, Z: 934.163208
X: 6.121212, Y: -97.728157, Z: 933.795898
X: 5.757576, Y: -98.427177, Z: 934.285645
X: 4.545455, Y: -97.262131, Z: 935.510193
X: 5.030303, Y: -94.582520, Z: 933.551025
X: 2.969697, Y: -96.097084, Z: 935.020386
X: 5.272727, Y: -97.495140, Z: 935.387695
X: 5.636364, Y: -99.475723, Z: 933.795898
X: 5.515152, Y: -99.126205, Z: 936.367310
X: 5.030303, Y: -98.776695, Z: 934.897949
X: 7.939394, Y: -95.980576, Z: 937.959167
X: 4.545455, Y: -98.893204, Z: 936.122375
X: 5.393939, Y: -96.097084, Z: 935.877502
X: 6.969697, Y: -98.077667, Z: 935.510193
X: 6.363637, Y: -97.145622, Z: 934.408081
X: 5.757576, Y: -97.961159, Z: 936.122375
X: 6.242424, Y: -98.660194, Z: 934.897949
X: 6.121212, Y: -96.446602, Z: 937.224426
X: 6.969697, Y: -99.475723, Z: 936.367310
X: 6.848485, Y: -98.194168, Z: 936.122375
X: 5.757576, Y: -96.446602, Z: 934.163208
X: 5.393939, Y: -97.262131, Z: 936.244873
X: 7.212121, Y: -96.563103, Z: 935.999939
X: 6.606061, Y: -97.961159, Z: 936.979553
X: 2.727273, Y: -97.378639, Z: 935.877502
X: 6.848485, Y: -96.563103, Z: 934.530579
X: 4.666667, Y: -99.825241, Z: 933.551025
X: 6.848485, Y: -96.330093, Z: 935.510193
X: 5.151515, Y: -96.563103, Z: 937.959167
X: 8.303030, Y: -95.631065, Z: 936.367310
X: 4.787879, Y: -97.961159, Z: 934.163208
X: 5.030303, Y: -96.213585, Z: 934.653015
X: 4.666667, Y: -97.145622, Z: 934.530579
X: 5.272727, Y: -98.543686, Z: 935.387695
X: 1.393940, Y: -98.776695, Z: 935.387695
X: 6.000000, Y: -97.495140, Z: 935.755066
X: 4.060606, Y: -97.378639, Z: 934.653015
X: 5.393939, Y: -99.592232, Z: 934.530579
X: 3.818182, Y: -97.611649, Z: 935.999939
X: 7.090909, Y: -98.194168, Z: 936.857117
X: 5.515152, Y: -98.194168, Z: 934.775513
X: 6.363637, Y: -97.961159, Z: 934.653015
X: 4.666667, Y: -96.446602, Z: 934.775513
X: 7.333333, Y: -96.912621, Z: 934.040771
X: 5.030303, Y: -96.330093, Z: 933.673462
X: 5.878788, Y: -98.194168, Z: 934.163208
X: 7.454545, Y: -99.708740, Z: 934.408081
X: 3.454546, Y: -98.194168, Z: 936.489807
X: 4.909091, Y: -95.048538, Z: 933.795898
X: 5.515152, Y: -96.679611, Z: 934.653015
X: 5.151515, Y: -96.563103, Z: 936.244873
X: 7.575758, Y: -96.563103, Z: 937.101990
X: 5.393939, Y: -97.844658, Z: 936.979553
X: 5.878788, Y: -98.543686, Z: 934.530579
X: 4.303030, Y: -97.611649, Z: 935.755066
X: 5.636364, Y: -96.330093, Z: 933.918335
X: 6.000000, Y: -99.009705, Z: 938.204041
X: 7.333333, Y: -97.611649, Z: 935.387695
X: 4.060606, Y: -97.844658, Z: 934.408081
X: 6.000000, Y: -97.961159, Z: 934.897949
X: 5.757576, Y: -98.077667, Z: 935.387695
X: 3.090910, Y: -98.893204, Z: 934.653015
X: 4.787879, Y: -96.097084, Z: 935.142822
X: 6.363637, Y: -97.029121, Z: 937.469360
X: 5.757576, Y: -97.844658, Z: 933.428589
X: 6.000000, Y: -97.961159, Z: 935.877502
X: 4.303030, Y: -95.980576, Z: 935.877502
